frame.time_epoch,ip.src,ip.dst,ip.proto,frame.len
"1769875591.630495000","192.168.76.130","192.168.76.133","1","98"
"1769875592.632591000","192.168.76.133","192.168.76.130","1","98"
"1769875592.632647000","192.168.76.130","192.168.76.133","1","98"
"1769875593.657754000","192.168.76.133","192.168.76.130","1","98"
"1769875593.657845000","192.168.76.130","192.168.76.133","1","98"
"1769875594.659415000","192.168.76.133","192.168.76.130","1","98"
"1769875594.659514000","192.168.76.130","192.168.76.133","1","98"
"1769875595.705594000","192.168.76.133","192.168.76.130","1","98"
"1769875595.705675000","192.168.76.130","192.168.76.133","1","98"
"1769875596.729191000","192.168.76.133","192.168.76.130","1","98"
"1769875596.729286000","192.168.76.130","192.168.76.133","1","98"
"1769875597.731439000","192.168.76.133","192.168.76.130","1","98"
"1769875597.731518000","192.168.76.130","192.168.76.133","1","98"
"1769875598.777485000","192.168.76.133","192.168.76.130","1","98"
"1769875598.777587000","192.168.76.130","192.168.76.133","1","98"
"1769875599.778950000","192.168.76.133","192.168.76.130","1","98"
"1769875599.779015000","192.168.76.130","192.168.76.133","1","98"
"1769875600.825669000","192.168.76.133","192.168.76.130","1","98"
"1769875600.825719000","192.168.76.130","192.168.76.133","1","98"
"1769875601.092061000","192.168.76.1","192.168.76.255","17","86"
"1769875601.850051000","192.168.76.133","192.168.76.130","1","98"
"1769875601.850261000","192.168.76.130","192.168.76.133","1","98"
"1769875602.851820000","192.168.76.133","192.168.76.130","1","98"
"1769875602.851905000","192.168.76.130","192.168.76.133","1","98"
"1769875603.897676000","192.168.76.133","192.168.76.130","1","98"
"1769875603.897873000","192.168.76.130","192.168.76.133","1","98"
"1769875607.996197000",,,,"42"
"1769875607.997244000",,,,"60"
"1769875631.094012000","192.168.76.1","192.168.76.255","17","86"
"1769875656.156073000","192.168.76.1","239.255.255.250","17","167"
"1769875656.198728000","192.168.76.1","224.0.0.251","17","87"
"1769875656.200423000",,,,"107"
"1769875661.094061000","192.168.76.1","192.168.76.255","17","86"
"1769875675.146578000","192.168.76.1","239.255.255.250","17","213"
"1769875676.148082000","192.168.76.1","239.255.255.250","17","213"
"1769875677.148990000","192.168.76.1","239.255.255.250","17","213"
"1769875678.149944000","192.168.76.1","239.255.255.250","17","213"
"1769875679.344355000","192.168.76.1","224.0.0.251","17","383"
"1769875679.344356000",,,,"403"
"1769875679.390526000","192.168.76.1","224.0.0.251","17","437"
"1769875679.390526000",,,,"457"
"1769875691.094215000","192.168.76.1","192.168.76.255","17","86"
"1769875721.094307000","192.168.76.1","192.168.76.255","17","86"
"1769875751.095023000","192.168.76.1","192.168.76.255","17","86"
"1769875760.326014000","192.168.76.130","192.168.76.254","17","327"
"1769875760.328346000","192.168.76.254","192.168.76.130","17","342"
"1769875765.435411000",,,,"42"
"1769875765.436052000",,,,"60"
"1769875776.151729000","192.168.76.1","239.255.255.250","17","167"
"1769875776.193288000","192.168.76.1","224.0.0.251","17","87"
"1769875776.194443000",,,,"107"
"1769875781.102111000","192.168.76.1","192.168.76.255","17","86"
"1769875795.141179000","192.168.76.1","239.255.255.250","17","213"
"1769875796.142881000","192.168.76.1","239.255.255.250","17","213"
"1769875797.143401000","192.168.76.1","239.255.255.250","17","213"
"1769875798.144626000","192.168.76.1","239.255.255.250","17","213"
"1769875811.100660000","192.168.76.1","192.168.76.255","17","86"
"1769875841.099790000","192.168.76.1","192.168.76.255","17","86"
"1769875871.099976000","192.168.76.1","192.168.76.255","17","86"
